expected_input	input	is_match	expected_match	split_vote	explanation
Illuminate the bottom face with a dim lamp and the opposite face with a bright lamp simultaneously at firm brightness for 5 seconds, without moving the lamps.	Pointing a dim lamp at the bottom face and a bright lamp at the top face simultaneously, holding both steady for 5 seconds without moving them.	TRUE	FALSE	FALSE	The INPUT omits the required firm brightness intensity qualifier stated by the EXPECTED procedure.
Chime a bell near two opposite faces, starting from the bottom face. Alternate the chime between the two faces — 12 seconds pause between chimes — for five cycles at gentle tone.	Gently ring the bell at the bottom face, pause 12 seconds, gently ring the bell at the top face, pause 12 seconds. Repeat alternating bottom/top for 5 full cycles.	TRUE	TRUE	FALSE	
Sound a sustained moderate tone near all six faces simultaneously for 10 seconds, starting from the front face. Let the tone fade naturally and wait for the hum to stabilize.	I am placing a warm stone beside the back face at moderate warmth for 15 seconds, then rotating and repeating this for each face.	FALSE	FALSE	FALSE	
Place a warm stone beside the right face at gentle warmth for 10 seconds. Rotate and repeat for each face.	Placing the lamp on dim setting near the front face and the lamp on bright setting near the opposite back face, gently, and holding both in position for 5 seconds.	FALSE	FALSE	FALSE	
Place a warm stone beside the left face at gentle warmth for 20 seconds. Rotate and repeat for each face.	Positioning the bell centrally to project a gentle tone to all 6 faces simultaneously for 5 seconds, oriented starting from the right face. Then letting the tone fade completely and waiting in silence.	FALSE	FALSE	FALSE	
Drape a cool cloth over the Veyru for 20 seconds. Remove the cloth and fan firm cool air across the left face and the opposite face for 20 seconds.	Drape the cloth over the entire Veyru for 20 seconds. Remove the cloth. Then fan firmly across the left face and the opposite (right) face for 20 seconds.	TRUE	TRUE	TRUE	
Drape a cool cloth over the Veyru for 12 seconds. Remove the cloth and fan firm cool air across the left face and the opposite face for 12 seconds.	Cool cloth over whole Veyru, 12s. Then fan cool air firm on left face and right face, 12s.	FALSE	FALSE	TRUE	
Chime a bell near the center of each face once at moderate tone, starting from the bottom face. Then place a warm stone beside the Veyru for 10 seconds.	Holding the heated stone beside the bottom face gently for 5 seconds, then repeating for each face.	FALSE	FALSE	FALSE	
Drape a folded cloth over the bottom face for 10 seconds at gentle coverage. Then chime a bell near each edge of the bottom face twice.	Fold cloth and rest it gently on the bottom face, hold gently for 10 seconds. Then ring the bell twice at each of the four edges around the bottom face, one after another.	FALSE	TRUE	FALSE	The INPUT gently drapes the folded cloth on the bottom face for 10 seconds then chimes the bell twice at each edge, matching every required parameter.
Drape a cool cloth over the Veyru for 12 seconds. Remove the cloth and fan firm cool air across the top face and the opposite face for 12 seconds.	Rotating the Veyru slowly for 8 seconds while applying firm tone to opposite faces starting from the right face, then ringing the bell once at each of the 8 corners.	FALSE	FALSE	FALSE	
Drape a folded cloth over the front face for 15 seconds at gentle coverage. Then chime a bell near each edge of the front face twice.	Placing the folded cloth on the front face for 15 seconds gently, then ringing the bell at each edge of the front face twice.	TRUE	TRUE	FALSE	
Rotate the Veyru slowly over 15 seconds while sounding a steady tone at moderate volume near opposite faces, starting from the front face. After rotation, chime a bell once near each corner.	Moderately rotating the Veyru so the front face and its opposite back face alternate facing up over 15 seconds, then ringing the bell once near each of the 8 corners.	FALSE	FALSE	FALSE	
Rest a flat board against the right face at firm contact for 20 seconds. Rotate and repeat for each face-pair.	Pressing flat board firmly against the right face for 20 seconds, then rotating to each opposite face-pair and repeating the firm 20-second board contact for each pair.	TRUE	TRUE	FALSE	
Drape a folded cloth over the front face for 15 seconds at moderate coverage. Then chime a bell near each edge of the front face twice.	I place a folded cloth against the front face and hold it there with moderate pressure for 15 seconds. Then I chime the bell twice near each edge of the front face.	FALSE	TRUE	FALSE	The INPUT holds the folded cloth against the front face with moderate pressure for 15 seconds then chimes twice at each front-face edge, matching every required parameter.
At each corner of the front face, chime a bell briefly at moderate tone, then warm the two edges meeting at that corner with a heated stone for 10 seconds.	Ringing the bell at moderate intensity at corner 1 of the front face, then placing the warm stone on the 2 edges meeting at that corner for 10 seconds each. Moving to corner 2: bell, then warm stone on its 2 edges for 10 seconds each. Repeating for corners 3 and 4 — all 4 corners completed fully in sequence before stopping.	FALSE	TRUE	TRUE	The INPUT chimes the bell at moderate intensity at each front-face corner then warms the two edges meeting there for 10 seconds, matching every required parameter.
Drape a cool cloth over the Veyru for 15 seconds. Remove and fan gentle cool air across all six faces for 15 seconds, starting from the back face.	I drape the cloth over the whole Veyru with gentle coverage for 15 seconds. Then I fan all six faces from the back gently for 15 seconds.	FALSE	FALSE	FALSE	
Place a warm stone beside the right face at moderate warmth for 8 seconds. Rotate and repeat for each face.	Hold the heated stone beside the right face at moderate warmth for 8 seconds. Then rotate the Veyru and repeat for each of the other 5 faces, 8 seconds each.	FALSE	TRUE	FALSE	The INPUT holds the heated stone beside the right face at moderate warmth for 8 seconds then rotates and repeats for each face for 8 seconds, matching every required parameter.
Illuminate the left face with a dim lamp and the opposite face with a bright lamp simultaneously at gentle brightness for 20 seconds, without moving the lamps.	Positioning a dim lamp near the left face and a bright lamp near the opposite (right) face simultaneously at gentle brightness, holding both lamps steady without movement for 20 seconds.	TRUE	TRUE	FALSE	
Drape a cool cloth over the Veyru for 15 seconds. Remove the cloth and fan firm cool air across the left face and the opposite face for 15 seconds.	Cl cool all 15s; Fn firm Lf+Rt 15s	FALSE	FALSE	FALSE	
Illuminate the front face with a dim lamp and the opposite face with a bright lamp simultaneously at firm brightness for 20 seconds, without moving the lamps.	I use the lamp for 20 seconds with the front face dimly lit and the opposite back face brightly lit, at firm intensity.	TRUE	TRUE	FALSE	
Place the Veyru on a soft surface with the bottom face up at firm contact. Let it rest undisturbed for 15 seconds.	I apply command SR with the round settings: I make a soft surface with the cloth, set the Veyru with the bottom face up on it, and let it rest securely for 15 seconds.	FALSE	FALSE	FALSE	
Drape a folded cloth over the bottom face for 10 seconds at gentle coverage. Then chime a bell near each edge of the bottom face twice.	Cloth folded bottom gentle 10s.Bell each E bottom x2.	FALSE	FALSE	FALSE	
Drape a folded cloth over the back face for 8 seconds at gentle coverage. Then chime a bell near each edge of the back face twice.	Drape folded cloth over the back face for 8 seconds, gently covering it. Then chime the bell near each of the four edges of the back face twice.	TRUE	TRUE	FALSE	
Drape a cool cloth over the Veyru for 8 seconds. Remove and fan firm cool air across all six faces for 8 seconds, starting from the bottom face.	Draped the cool cloth over the Veyru for 8 seconds. Removed it and fanned firm cool air across all six faces in sequence, starting from the bottom face, for 8 seconds total.	TRUE	TRUE	FALSE	
Warm each corner of the front face by holding a heated stone nearby for 5 seconds at firm warmth, in sequence. Then trace each edge of the front face with a finger.	Pressing the warm stone firmly at each corner of the front face, holding for 5 seconds at each of the 4 corners. Then tracing all edges of the front face with my finger.	FALSE	FALSE	FALSE	
Rotate the Veyru slowly over 12 seconds while sounding a steady tone at firm volume near opposite faces, starting from the back face. After rotation, chime a bell once near each corner.	Rotating the Veyru over 12 seconds while sounding a steady firm bell tone near opposite faces, starting with the back face, then chiming the bell once at each corner.	TRUE	TRUE	FALSE	
Sound a sustained moderate tone near all six faces simultaneously for 10 seconds, starting from the front face. Let the tone fade naturally and wait for the hum to stabilize.	Humming at moderate volume with my voice near all 6 faces of the Veyru, starting with the front face and working through all faces over 10 seconds total, then letting the sound fade out naturally.	FALSE	FALSE	FALSE	
Drape a folded cloth over the top face for 20 seconds at firm coverage. Then chime a bell near each edge of the top face twice.	Draping a folded cloth firmly over the top face of the Veyru and holding for 20 seconds, then chiming the bell twice near each edge of the top face.	TRUE	TRUE	FALSE	
Place the Veyru on a soft surface with the bottom face up at firm contact. Let it rest undisturbed for 8 seconds.	Placing the Veyru onto the soft cloth surface so it rests with firm contact, with the bottom face oriented facing upward, then leaving it completely still and undisturbed for 8 seconds.	TRUE	TRUE	FALSE	
Press and hold two adjacent edges near the left face with firm pressure for 12 seconds. Then tap each frozen face sharply three times.	I press and hold two adjacent edges near the left face for 12 seconds, then tap each frozen face sharply three times.	FALSE	FALSE	FALSE	
Warm each corner of the bottom face by holding a heated stone nearby for 10 seconds at moderate warmth, in sequence. Then trace each edge of the bottom face with a finger.	Applying the heated stone at moderate intensity to each corner of the bottom face for 10 seconds each, going through all 4 corners. Then tracing each edge of the bottom face with my finger.	FALSE	FALSE	FALSE	
Chime a bell near two opposite faces, starting from the left face. Alternate the chime between the two faces — 20 seconds pause between chimes — for five cycles at gentle tone.	Alternately chime the bell at the left face (L) and the right face (R, opposite), with gentle intensity, for 5 cycles total (L-R-L-R-L-R-L-R-L-R), with a 20 second pause between each chime.	TRUE	TRUE	FALSE	
At each corner of the back face, chime a bell briefly at moderate tone, then warm the two edges meeting at that corner with a heated stone for 5 seconds.	I ring the bell briefly at each corner of the back face at a moderate tone. Then I warm the meeting edges with the heated stone for 5 seconds at moderate warmth.	TRUE	TRUE	FALSE	
Rest a flat board against the back face at gentle contact for 8 seconds. Rotate and repeat for each face-pair.	Place the flat board touching the back face gently for 8 seconds, then rotate to each face pair in sequence, applying the board gently to each face for 8 seconds, cycling through all face pairs.	TRUE	TRUE	FALSE	
Rotate the Veyru slowly over 20 seconds while sounding a steady tone at gentle volume near opposite faces, starting from the left face. After rotation, chime a bell once near each corner.	Rotate 20s tone gentle left+opp. Bell corners.	FALSE	FALSE	FALSE	
At each corner of the top face, chime a bell briefly at firm tone, then warm the two edges meeting at that corner with a heated stone for 12 seconds.	For each of the 4 corners of the Top face: first chime the bell briefly with firm tone at that corner, then place the heated stone on the 2 edges of the Top face that meet at that corner for 12 seconds. Repeat for all 4 corners of the Top face.	TRUE	TRUE	FALSE	
At each corner of the front face, chime a bell briefly at moderate tone, then warm the two edges meeting at that corner with a heated stone for 10 seconds.	I ring the bell briefly at each corner of the front face. Then I hold the heated stone on both meeting edges for 10 seconds.	FALSE	FALSE	FALSE	
Sound a sustained firm tone near all six faces simultaneously for 20 seconds, starting from the left face. Let the tone fade naturally and wait for the hum to stabilize.	Ring the bell continuously and firmly, holding it directly above the center of the Veyru so it is equidistant to all 6 faces, for 20 seconds. Let the bell tone fade naturally at the end.	FALSE	FALSE	FALSE	
Place the Veyru on a soft surface with the top face up at gentle contact. Let it rest undisturbed for 5 seconds.	I hold the flat board against the front face for 12 seconds at moderate contact, then rotate and repeat the same contact across the face-pairs around the Veyru.	FALSE	FALSE	FALSE	
Drape a cool cloth over the Veyru for 12 seconds. Remove the cloth and fan gentle cool air across the left face and the opposite face for 12 seconds.	Draped cool cloth for 12s, then fanned left and opposite faces for 12s.	FALSE	FALSE	FALSE	
Rotate the Veyru slowly over 12 seconds while sounding a steady tone at firm volume near opposite faces, starting from the top face. After rotation, chime a bell once near each corner.	I rotate the Veyru for 12 seconds while sounding a steady firm bell tone at the top face and the opposite face. Then I ring the bell once at all eight corners.	TRUE	TRUE	FALSE	
Drape a folded cloth over the front face for 15 seconds at gentle coverage. Then chime a bell near each edge of the front face twice.	Folding the cloth and placing it gently on the front face for 15 seconds, then immediately chiming the bell twice at each of the 4 edges of the front face — one continuous unbroken sequence.	FALSE	TRUE	FALSE	The input conveys placing the cloth gently on the front face for 15 seconds and chiming twice at each edge, matching every required parameter in plain English.
Drape a cool cloth over the Veyru for 12 seconds. Remove the cloth and fan firm cool air across the top face and the opposite face for 12 seconds.	Draping a cool cloth over the Veyru for 12 seconds. Removing it, then fanning firm cool air across the top face and the opposite bottom face for 12 seconds.	TRUE	TRUE	FALSE	
Drape a cool cloth over the Veyru for 20 seconds. Remove the cloth and fan moderate cool air across the left face and the opposite face for 20 seconds.	Draped the cool cloth over the entire Veyru for 20 seconds, then removed it. Then used the hand fan at moderate force to cool the left face, then sequentially the right face (the opposite face), totaling 20 seconds across the two faces in sequence starting with the left.	FALSE	FALSE	FALSE	
Place the Veyru on a soft surface with the top face up at gentle contact. Let it rest undisturbed for 12 seconds.	Hold the heated stone gently beside the Left face for 20 seconds. Then beside the Front face for 20 seconds. Then beside the Right face for 20 seconds. Then beside the Back face for 20 seconds. Then beside the Top face for 20 seconds. Then beside the Down face for 20 seconds. All 6 faces in turn, 20 seconds each, gentle.	FALSE	FALSE	FALSE	
Illuminate the left face with a dim lamp and the opposite face with a bright lamp simultaneously at firm brightness for 10 seconds, without moving the lamps.	Holding a dim lamp at the left face and a bright lamp at the opposite right face simultaneously for 10 seconds firmly, without moving the lamps.	TRUE	TRUE	FALSE	
Drape a cool cloth over the Veyru for 15 seconds. Remove and fan moderate cool air across all six faces for 15 seconds, starting from the front face.	Drape the cool cloth over the entire Veyru covering all 6 faces for 15 seconds. Remove the cloth completely. Then use the hand fan to blow moderate cool air across all 6 faces for 15 seconds total, starting at the front face and rotating around to each face.	TRUE	TRUE	FALSE	
Place the Veyru on a soft surface with the bottom face up at moderate contact. Let it rest undisturbed for 20 seconds.	Soft surface, bottom face up, md, rest 20s.	FALSE	FALSE	FALSE	
At each corner of the left face, chime a bell briefly at firm tone, then warm the two edges meeting at that corner with a heated stone for 10 seconds.	Placing the Veyru down on a soft surface with the bottom face facing up, with firm placement. Letting it rest undisturbed for 8 seconds.	FALSE	FALSE	FALSE	
Illuminate the front face with a dim lamp and the opposite face with a bright lamp simultaneously at firm brightness for 20 seconds, without moving the lamps.	Shining the lamp at dim setting near the front face of the Veyru while simultaneously holding it at bright setting near the back face, pressing firmly and keeping everything still for 20 seconds.	FALSE	FALSE	TRUE	Manually adjudicated against a 2-1 split vote: the input describes a single lamp held at two settings (dim front, bright back) simultaneously, which is physically impossible; the procedure requires two separate lamps.
Drape a folded cloth over the top face for 20 seconds at firm coverage. Then chime a bell near each edge of the top face twice.	Drape the folded cloth on the U face for 20 seconds with firm coverage. Then ring the bell near each of the 4 edges of the U face, twice each.	FALSE	FALSE	FALSE	
Place the Veyru on a soft surface with the back face up at firm contact. Let it rest undisturbed for 5 seconds.	Chime the bell at gentle tone near the left face of the Veyru, pause 20 seconds, then chime the bell at gentle tone near the right face (opposite). Repeat this alternating pattern for 5 complete cycles total.	FALSE	FALSE	FALSE	
Drape a folded cloth over the left face for 12 seconds at gentle coverage. Then chime a bell near each edge of the left face twice.	Pressing the folded cloth gently against the left face of the Veyru for 12 seconds, then removing it and chiming the bell twice near each of the 4 edges of the left face.	FALSE	TRUE	FALSE	The input matches pressing the cloth gently on the left face for 12 seconds and chiming twice at each of the four edges in plain English.
At each corner of the right face, chime a bell briefly at moderate tone, then warm the two edges meeting at that corner with a heated stone for 8 seconds.	Hold the heated stone beside the Left face of the Veyru for 20 seconds gently, then rotate the Veyru through all six faces holding the stone beside each face gently for 20 seconds each.	FALSE	FALSE	FALSE	
Chime a bell near the center of each face once at firm tone, starting from the bottom face. Then place a warm stone beside the Veyru for 10 seconds.	I ring the bell once near the center of each face at a firm tone, starting from the bottom face. Then I place a warm stone beside the Veyru for 10 seconds.	TRUE	TRUE	FALSE	
Rest a flat board against the left face at moderate contact for 20 seconds. Rotate and repeat for each face-pair.	Rest the flat board against the left face with moderate contact for 20 seconds. Then rotate the Veyru and repeat with the board against each face-pair: left-right done, then top-bottom 20s each, then front-back 20s each.	TRUE	TRUE	FALSE	
Rotate the Veyru slowly over 15 seconds while sounding a steady tone at firm volume near opposite faces, starting from the left face. After rotation, chime a bell once near each corner.	Rotate the Veyru slowly in place for 15 seconds while holding the bell midway between the Left face and the opposite Right face, producing a steady strong tone projected toward both faces. After 15 seconds, stop the steady tone and chime the bell once at each of the 8 corners of the Veyru (one chime per corner, 8 chimes total).	TRUE	TRUE	FALSE	
Warm each corner of the back face by holding a heated stone nearby for 8 seconds at gentle warmth, in sequence. Then trace each edge of the back face with a finger.	Take the heated stone and warm each of the 4 corners of the B (back) face in sequence, holding the stone at each corner for 8 seconds with gentle contact (4 corners × 8s = 32s of stone work). Then with my finger, trace along all 4 edges of the B face.	FALSE	FALSE	FALSE	
Illuminate the bottom face with a dim lamp and the opposite face with a bright lamp simultaneously at firm brightness for 5 seconds, without moving the lamps.	Placing the warm stone beside the front face at firm warmth and holding it there for 10 seconds. Then rotating to the next face and repeating — placing the warm stone beside each face in turn at firm warmth for 10 seconds, going through all 6 faces.	FALSE	FALSE	FALSE	
